benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/002-80-8-sc2014.cnf.bz2, Maple_LCM_Scavel_155, default, 429.805, complete, SAT-VERIFIED, 0.0173179, --
sat/002-80-8-sc2014.cnf.bz2, MergeSAT, simp_proof, 595.372, complete, SAT-VERIFIED, 0.010208, --
sat/002-80-8-sc2014.cnf.bz2, Minisat-v2.2.0-106-ge2dd095, simp_proof, 5000.01, timeout (wallclock), UNKNOWN, 0.014302, --
sat/002-80-8-sc2014.cnf.bz2, PADC_MapleLCMDistChronoBT, default, 227.903, complete, SAT-VERIFIED, 0.0113999, --
sat/002-80-8-sc2014.cnf.bz2, PADC_MapleLCMDistChronoBT, nbIncRedDB_5_CT_0, 392.541, complete, SAT-VERIFIED, 0.00943391, --
sat/002-80-8-sc2014.cnf.bz2, PADC_Maple_LCM_Dist, default, 514.658, complete, SAT-VERIFIED, 0.010646, --
sat/002-80-8-sc2014.cnf.bz2, PSIDS_MapleLCMDistChronoBT, default, 711.61, complete, SAT-VERIFIED, 0.013041, --
sat/002-80-8-sc2014.cnf.bz2, Relaxed_LCMDistChronoBT, default, 1252.14, complete, SAT-VERIFIED, 0.0135411, --
sat/002-80-8-sc2014.cnf.bz2, Relaxed_LCMDistChronoBT_Scavel, default, 744.103, complete, SAT-VERIFIED, 0.010518, --
sat/002-80-8-sc2014.cnf.bz2, Relaxed_LCMDistChronoBT_p9, default, 962.547, complete, SAT-VERIFIED, 0.0121181, --
sat/002-80-8-sc2014.cnf.bz2, Relaxed_LCM_Dist, default, 1237.37, complete, SAT-VERIFIED, 0.011379, --
sat/002-80-8-sc2014.cnf.bz2, Riss7.1, NOUNSAT_proof, 352.327, complete, SAT-VERIFIED, 0.0121901, --
sat/002-80-8-sc2014.cnf.bz2, Riss7.1, default_proof, 1208.53, complete, SAT-VERIFIED, 0.01081, --
sat/002-80-8-sc2014.cnf.bz2, SLIME, default, 599.405, complete, SAT-VERIFIED, 0.00901107, --
sat/002-80-8-sc2014.cnf.bz2, SparrowToMergeSAT, Sparrow2MergeSAT_proof, 1517.05, complete, SAT-VERIFIED, 0.012732, --
sat/002-80-8-sc2014.cnf.bz2, Topk3.2_Glucose3.0, default, 953.937, complete, SAT-VERIFIED, 0.0112491, --
sat/002-80-8-sc2014.cnf.bz2, Topk3_Glucose3.0, default, 848.073, complete, SAT-VERIFIED, 0.010575, --
sat/002-80-8-sc2014.cnf.bz2, Topk6.2_Glucose3.0, default, 1135.44, complete, SAT-VERIFIED, 0.0099041, --
sat/002-80-8-sc2014.cnf.bz2, Topk6_Glucose3.0, default, 1054.47, complete, SAT-VERIFIED, 0.0101401, --
sat/002-80-8-sc2014.cnf.bz2, ZIB_Glucose, default, 883.662, complete, SAT-VERIFIED, 0.0141479, --
sat/002-80-8-sc2014.cnf.bz2, cmsatv56-walksat, default, 491.114, complete, SAT-VERIFIED, 0.012011, --
sat/002-80-8-sc2014.cnf.bz2, cmsatv56-walksat-chronobt, default, 1710.84, complete, SAT-VERIFIED, 0.00989202, --
sat/002-80-8-sc2014.cnf.bz2, cmsatv56-yalsat, default, 514.26, complete, SAT-VERIFIED, 0.011044, --
sat/002-80-8-sc2014.cnf.bz2, cmsatv56-yalsat-chronobt, default, 1723.81, complete, SAT-VERIFIED, 0.010141, --
sat/002-80-8-sc2014.cnf.bz2, expMaple_CM, default, 382.108, complete, SAT-VERIFIED, 0.0093021, --
sat/002-80-8-sc2014.cnf.bz2, expMaple_CM _GCBump, default, 619.631, complete, SAT-VERIFIED, 0.0108031, --
sat/002-80-8-sc2014.cnf.bz2, expMaple_CM _GCBumpOnlyLRB, default, 632.703, complete, SAT-VERIFIED, 0.013314, --
sat/002-80-8-sc2014.cnf.bz2, glucose-4.2.1, default, 1202.39, complete, SAT-VERIFIED, 0.00986208, --
sat/002-80-8-sc2014.cnf.bz2, glucose3.0, proofs, 774.366, complete, SAT-VERIFIED, 0.0092459, --
sat/002-80-8-sc2014.cnf.bz2, glucose_421_del, default, 1365.11, complete, SAT-VERIFIED, 0.012387, --
sat/002-80-8-sc2014.cnf.bz2, glucose_BTL, default, 1010.05, complete, SAT-VERIFIED, 0.0107049, --
sat/002-80-8-sc2014.cnf.bz2, optsat, default, 614.343, complete, SAT-VERIFIED, 0.0119751, --
sat/002-80-8-sc2014.cnf.bz2, smallsat, default, 262.604, complete, SAT-VERIFIED, 0.0101079, --
sat/002-sc2013.cnf.bz2, CCAnrSim, default, 5000.12, timeout (cpu), UNKNOWN, 0.00978604, --
sat/002-sc2013.cnf.bz2, COMiniSatPS_Pulsar_drup, drup, 5000.01, timeout (wallclock), UNKNOWN, 0.0120281, --
sat/002-sc2013.cnf.bz2, CaDiCaL, default, 2844.16, complete, SAT-VERIFIED, 0.0152749, --
sat/002-sc2013.cnf.bz2, CaDiCaL, sat, 5000.11, timeout (wallclock), UNKNOWN, 0.0109699, --
sat/002-sc2013.cnf.bz2, CaDiCaL, unsat, 5000.05, timeout (wallclock), UNKNOWN, 0.012078, --
sat/002-sc2013.cnf.bz2, Candy, default, 5000.07, timeout (wallclock), UNKNOWN, 0.00915797, --
sat/002-sc2013.cnf.bz2, MLDChronoBT_GCBump, default, 1213.19, complete, SAT-VERIFIED, 0.010782, --
sat/002-sc2013.cnf.bz2, MapleCOMSPS_CHB_VSIDS_drup, CHB_VSIDS_drup, 5000.06, timeout (wallclock), UNKNOWN, 0.01179, --
sat/002-sc2013.cnf.bz2, MapleCOMSPS_LRB_VSIDS_2_drup, LRB_VSIDS_2_drup, 4664.38, complete, SAT-VERIFIED, 0.0127489, --
sat/002-sc2013.cnf.bz2, MapleCOMSPS_LRB_VSIDS_drup, LRB_VSIDS_drup, 1202.39, complete, SAT-VERIFIED, 0.0103399, --
