input;id_instance;method;k;size;percent;res3700re;time;cut;ite;cover
TF-72.tf;138;ptf;3;21;0.9913644214162349;6.0;91.4758231639862;True;117;99
TF-96.tf;139;ptf;3;14;0.9913644214162349;3.0;24.47417426109314;True;61;99
TF-37.tf;0;ptf;3;NA;NA;NA;3700;True;1;95
TF-70.tf;1;ptf;3;NA;NA;NA;3700;True;1;95
cire100-4.txt;2;ptf;3;18;0.95;442.0;10.611056804656982;True;21;95
rtf30-6.txt;3;ptf;3;6;1.0;0;0.2279798984527588;True;5;95
TF-15.tf;4;ptf;3;12;0.9533678756476683;10.0;170.186621427536;True;140;95
TF-10.tf;5;ptf;3;NA;NA;NA;3700;True;1;95
TF-51.tf;6;ptf;3;10;0.9516407599309153;11.0;62.94065976142883;True;101;95
TF-54.tf;7;ptf;3;NA;NA;NA;3700;True;1;95
scp1000-1.txt;8;ptf;3;63;0.95;165.0;439.09248328208923;True;212;95
TF-76.tf;9;ptf;3;NA;NA;NA;3700;True;1;95
TF-55.tf;10;ptf;3;11;0.9532871972318339;10.0;60.301506996154785;True;97;95
TF-8.tf;11;ptf;3;NA;NA;NA;3700;True;1;95
TF-78.tf;12;ptf;3;NA;NA;NA;3700;True;1;95
cire100-9.txt;13;ptf;3;18;0.95;530.0;8.5967276096344;True;26;95
TF-99.tf;14;ptf;3;NA;NA;NA;3700;True;1;95
TF-41.tf;15;ptf;3;NA;NA;NA;3700;True;1;95
TF-2.tf;16;ptf;3;NA;NA;NA;3700;True;1;95
TF-48.tf;17;ptf;3;NA;NA;NA;3700;True;1;95
rtf30-5.txt;18;ptf;3;7;1.0;0;0.2365427017211914;True;7;95
TF-57.tf;19;ptf;3;12;0.9516407599309153;12.0;281.6742436885834;True;184;95
TF-81.tf;20;ptf;3;NA;NA;NA;3700;True;1;95
TF-18.tf;21;ptf;3;NA;NA;NA;3700;True;1;95
TF-12.tf;22;ptf;3;NA;NA;NA;3700;True;1;95
TF-21.tf;23;ptf;3;NA;NA;NA;3700;True;1;95
rtf30-7.txt;24;ptf;3;10;1.0;0;0.8334174156188965;True;7;95
