family,instance,solver,time
7,si2_r001_m600.04,Glasgow,0.045000
7,si2_r001_m600.04,LAD,19.394000
7,si2_r001_m600.04,VF2,1000.000000
7,si2_r001_m600.04,RI,0.000008
7,si2_r001_m600.07,Glasgow,0.047000
7,si2_r001_m600.07,LAD,19.205000
7,si2_r001_m600.07,VF2,1000.000000
7,si2_r001_m600.07,RI,0.000159
7,si2_r001_m600.02,Glasgow,0.022000
7,si2_r001_m600.02,LAD,49.034000
7,si2_r001_m600.02,VF2,1000.000000
7,si2_r001_m600.02,RI,0.000751
7,si2_r001_m600.08,Glasgow,0.069000
7,si2_r001_m600.08,LAD,1000.000000
7,si2_r001_m600.08,VF2,1000.000000
7,si2_r001_m600.08,RI,0.000967
7,si2_r001_m600.03,Glasgow,0.105000
7,si2_r001_m600.03,LAD,51.894000
7,si2_r001_m600.03,VF2,1000.000000
7,si2_r001_m600.03,RI,0.068378
7,si2_r001_m600.01,Glasgow,0.040000
7,si2_r001_m600.01,LAD,43.338000
7,si2_r001_m600.01,VF2,1000.000000
7,si2_r001_m600.01,RI,0.000123
7,si2_r001_m600.05,Glasgow,0.158000
7,si2_r001_m600.05,LAD,23.471000
7,si2_r001_m600.05,VF2,1000.000000
7,si2_r001_m600.05,RI,0.000178
7,si2_r001_m600.09,Glasgow,0.025000
7,si2_r001_m600.09,LAD,127.236000
7,si2_r001_m600.09,VF2,1000.000000
7,si2_r001_m600.09,RI,0.004765
6,si2_m4Dr2_m256.09,Glasgow,0.004000
6,si2_m4Dr2_m256.09,LAD,0.064000
6,si2_m4Dr2_m256.09,VF2,0.001000
6,si2_m4Dr2_m256.09,RI,0.000006
6,si2_m4Dr2_m256.03,Glasgow,0.003000
6,si2_m4Dr2_m256.03,LAD,0.040000
6,si2_m4Dr2_m256.03,VF2,0.001000
6,si2_m4Dr2_m256.03,RI,0.000038
6,si2_m4Dr2_m256.04,Glasgow,0.008000
6,si2_m4Dr2_m256.04,LAD,0.028000
6,si2_m4Dr2_m256.04,VF2,0.001000
6,si2_m4Dr2_m256.04,RI,0.000017
6,si2_m4Dr2_m256.07,Glasgow,0.005000
6,si2_m4Dr2_m256.07,LAD,0.010000
6,si2_m4Dr2_m256.07,VF2,0.001000
6,si2_m4Dr2_m256.07,RI,0.000001
6,si2_m4Dr2_m256.00,Glasgow,0.004000
6,si2_m4Dr2_m256.00,LAD,0.020000
6,si2_m4Dr2_m256.00,VF2,0.002000
6,si2_m4Dr2_m256.00,RI,0.000004
6,si2_m4Dr2_m256.06,Glasgow,0.004000
6,si2_m4Dr2_m256.06,LAD,0.079000
6,si2_m4Dr2_m256.06,VF2,0.001000
6,si2_m4Dr2_m256.06,RI,0.000064
6,si2_m4Dr2_m256.08,Glasgow,0.004000
6,si2_m4Dr2_m256.08,LAD,0.003000
6,si2_m4Dr2_m256.08,VF2,0.002000
6,si2_m4Dr2_m256.08,RI,0.000000
6,si2_m4Dr2_m256.05,Glasgow,0.004000
6,si2_m4Dr2_m256.05,LAD,0.002000
6,si2_m4Dr2_m256.05,VF2,0.001000
6,si2_m4Dr2_m256.05,RI,0.000000
6,si2_m4Dr2_m256.01,Glasgow,0.005000
6,si2_m4Dr2_m256.01,LAD,0.049000
6,si2_m4Dr2_m256.01,VF2,0.002000
6,si2_m4Dr2_m256.01,RI,0.000020
6,si2_m4Dr2_m256.02,Glasgow,0.005000
6,si2_m4Dr2_m256.02,LAD,0.004000
6,si2_m4Dr2_m256.02,VF2,0.001000
6,si2_m4Dr2_m256.02,RI,0.000003
7,si6_r001_m600.09,Glasgow,0.070000
7,si6_r001_m600.09,LAD,0.023000
7,si6_r001_m600.09,VF2,1000.000000
7,si6_r001_m600.09,RI,0.000002
7,si6_r001_m600.00,Glasgow,0.084000
7,si6_r001_m600.00,LAD,1.991000
7,si6_r001_m600.00,VF2,1000.000000
7,si6_r001_m600.00,RI,0.000017
7,si6_r001_m600.07,Glasgow,0.072000
7,si6_r001_m600.07,LAD,2.403000
7,si6_r001_m600.07,VF2,1000.000000
7,si6_r001_m600.07,RI,0.000014
7,si6_r001_m600.03,Glasgow,0.071000
7,si6_r001_m600.03,LAD,1.378000
7,si6_r001_m600.03,VF2,1000.000000
7,si6_r001_m600.03,RI,0.000007
7,si6_r001_m600.01,Glasgow,0.095000
7,si6_r001_m600.01,LAD,1.162000
7,si6_r001_m600.01,VF2,1000.000000
7,si6_r001_m600.01,RI,0.000001
7,si6_r001_m600.06,Glasgow,0.090000
7,si6_r001_m600.06,LAD,2.372000
7,si6_r001_m600.06,VF2,1000.000000
7,si6_r001_m600.06,RI,0.000000
7,si6_r001_m600.08,Glasgow,0.100000
7,si6_r001_m600.08,LAD,3.486000
7,si6_r001_m600.08,VF2,1000.000000
7,si6_r001_m600.08,RI,0.000003
7,si6_r001_m600.02,Glasgow,0.102000
7,si6_r001_m600.02,LAD,1.035000
7,si6_r001_m600.02,VF2,1000.000000
7,si6_r001_m600.02,RI,0.000010
7,si6_r001_m600.04,Glasgow,0.070000
7,si6_r001_m600.04,LAD,1.251000
7,si6_r001_m600.04,VF2,1000.000000
7,si6_r001_m600.04,RI,0.000010
7,si6_r001_m600.05,Glasgow,0.078000
7,si6_r001_m600.05,LAD,0.885000
7,si6_r001_m600.05,VF2,1000.000000
7,si6_r001_m600.05,RI,0.000001
