input,experiment_ware,cpu_time,Checked answer,Wallclock time,Memory,Solver name,Solver version,timeout,success,user_success,missing,consistent_xp,consistent_input,error,family
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Concrete 3.12.3,2400.0,UNKNOWN TO,2464.43,10846988.0,Concrete,3.12.3,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-20,211.421,SAT,54.0308,15532588.0,choco-solver,2019-09-20,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-06-14,137.506,SAT,35.4933,15532580.0,choco-solver,2019-06-14,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-16,260.369,SAT,66.6846,15532588.0,choco-solver,2019-09-16,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,BTD 19.07.01,2400.0,UNKNOWN TO,2520.01,330540.0,BTD,19.07.01,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),1689.17,SAT,1667.19,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),2400.0,UNKNOWN TO,2499.13,15142500.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,VBS,137.506,SAT,35.4933,15532580.0,choco-solver,2019-06-14,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,cosoco 2,2400.0,UNKNOWN TO,2519.9,429296.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,AbsCon 2019-07-23,2400.0,UNKNOWN TO,2508.12,10748324.0,AbsCon,2019-07-23,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,PicatSAT 2019-09-12,2400.0,UNKNOWN TO,2520.01,2266516.0,PicatSAT,2019-09-12,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,choco-solver 2019-09-24,2400.0,UNKNOWN TO,2511.71,15266332.0,choco-solver,2019-09-24,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,Concrete 3.10,2400.0,UNKNOWN TO,2457.15,10846964.0,Concrete,3.10,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,Concrete 3.12.3,2400.0,UNKNOWN TO,2460.33,10846988.0,Concrete,3.12.3,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,choco-solver 2019-09-20,2400.0,UNKNOWN TO,633.926,15532588.0,choco-solver,2019-09-20,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,choco-solver 2019-06-14,2400.0,UNKNOWN TO,633.98,15532580.0,choco-solver,2019-06-14,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,choco-solver 2019-09-16,2400.0,UNKNOWN TO,633.896,15532588.0,choco-solver,2019-09-16,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,BTD 19.07.01,2400.0,UNKNOWN TO,2520.01,235840.0,BTD,19.07.01,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),2400.0,UNKNOWN TO,2500.72,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
